Taquillas;Ventas Parley;Ventas por Derecho;Anulados;Premios;Tickets Pagados;Venta - Pagados;Venta - Premios
cruces Bs;500,00;0,00;0,00;0,00;0,00;500,00;500,00
gregory Bs;800,00;0,00;200,00;0,00;768,46;31,54;800,00
gregory Usd;4,00;0,00;0,00;0,00;30,38;-26,38;4,00
lalucha Usd;0,00;0,00;0,00;0,00;29,80;-29,80;0,00
misnietostecnobet Bs;800,00;0,00;0,00;0,00;0,00;800,00;800,00
misnietostecnobet Usd;1,00;0,00;0,00;0,00;0,00;1,00;1,00
paqueluisito Bs;2.000,00;0,00;0,00;0,00;0,00;2.000,00;2.000,00
Total Bs;4.100,00;0,00;200,00;0,00;768,46;3.331,54;4.100,00
Total Usd;5,00;0,00;0,00;0,00;60,18;-55,18;5,00
