Agentes;Ventas;Anulados;Premios;% Venta Taq;% Venta Ag;% Venta Rec;% Par Rec;Venta - Premios - %V;%V Banca;%P Banca;Saldo
1DARGENIS Usd;1363;4;2571.14;136.3;0;19.56;0;-1364;9.78;-892.96;-480.82
FABIOLAURUMACO Usd;773;0;928.89;77.3;0;15.46;0;-248.65;7.73;-166.65;-89.73
MARTAYEIBER Usd;10;0;0;0;1;0.1;0;8.9;0.05;5.76;3.09
WDALIANZA Usd;39;0;40.25;0;0;4.38;0;-5.63;0.24;-3.81;-2.06
WORLDDEPORTES$ Usd;3996.93;189;8830.85;1.7;371.2;79.94;0;-5286.76;26.57;-3453.66;-1859.67
Total Usd;6181.93;193;12371.13;215.3;372.2;119.44;0;-6896.14;44.37;-4511.32;-2429.19
